id,category,name_zh,summary,shape_primary,difficulty,intensity,style_tags,best_crops,perspective_dependency,image
ST-001,ST,单腿承重S线,一腿承重，另一腿放松，胸胯轻微反向形成柔和S线,S_CURVE,easy,2,自然|优雅,full_body|three_quarter,low,assets/pose-images/ST-001.webp
ST-002,ST,脚踝交叉松弛站,双腿窄站并在脚踝处交叉，重心偏后侧腿,VERTICAL,easy,2,松弛|自然,full_body|three_quarter,low,assets/pose-images/ST-002.webp
ST-003,ST,宽距力量站,双脚明显打开，重心居中，骨盆稳定，轮廓有力量,OPEN,easy,2,力量感|时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-003.webp
ST-004,ST,前后脚错位扭转,前后脚错位，骨盆与肩线轻微反向旋转,TWIST,medium,3,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-004.webp
ST-005,ST,古典Contrapposto,单腿承重、骨盆一高一低、肩线反向平衡,S_CURVE,easy,2,优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-005.webp
ST-006,ST,侧推胯单臂过头,骨盆侧推，单臂越头形成大弧线,C_CURVE,medium,3,时尚编辑|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-006.webp
ST-007,ST,窄站垂直拉长,双脚窄站，身体纵向延展，减少横向动作,VERTICAL,easy,2,清冷|优雅,full_body|three_quarter,low,assets/pose-images/ST-007.webp
ST-008,ST,肩部引导对角线,肩线明显倾斜，身体由肩向对侧脚形成对角,DIAGONAL,medium,3,时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-008.webp
ST-009,ST,站姿后弓开胸,骨盆稳定，胸腔上提并轻微后仰,ARCH,medium,3,戏剧化|优雅,full_body|three_quarter,low,assets/pose-images/ST-009.webp
ST-010,ST,侧弯上举延展,躯干向一侧弯曲，同侧或对侧手臂上举延展,C_CURVE,medium,3,优雅|戏剧化,full_body|three_quarter,low,assets/pose-images/ST-010.webp
ST-011,ST,前倾扶腿,髋部向后，躯干前倾，双手或前臂接近大腿,DIAGONAL,easy,2,时尚编辑|力量感,full_body|three_quarter,medium,assets/pose-images/ST-011.webp
ST-012,ST,单膝内扣时装站,一腿承重，另一膝轻内收制造不对称时装线条,ASYMMETRIC,easy,2,时尚编辑|清冷,full_body|three_quarter,low,assets/pose-images/ST-012.webp
ST-013,ST,脚尖前点,放松腿向前点地，延长腿线,VERTICAL,easy,2,优雅|柔和,full_body|three_quarter,low,assets/pose-images/ST-013.webp
ST-014,ST,脚尖侧点,放松腿向侧前方点地，骨盆轻微反向平衡,DIAGONAL,easy,2,优雅|自然,full_body|three_quarter,low,assets/pose-images/ST-014.webp
ST-015,ST,单侧提踵,一侧脚跟抬起，膝部略屈，形成轻盈不对称,ASYMMETRIC,easy,2,柔和|时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-015.webp
ST-016,ST,高位交叉腿站,大腿线条明显交叉，重心稳定在后腿,S_CURVE,medium,3,优雅|时尚编辑,full_body|three_quarter,low,assets/pose-images/ST-016.webp
